"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0071347",0.00439930292601703,0.998228114477907,21,50,"cellular response to interleukin-1","BP"
"GO:0043407",0.00444621536512345,0.998896777471728,11,21,"negative regulation of MAP kinase activity","BP"
"GO:0045622",0.00451087598814713,1,4,4,"regulation of T-helper cell differentiation","BP"
"GO:0000018",0.00462955252428978,1,4,4,"regulation of DNA recombination","BP"
"GO:0070434",0.00485429520805912,0.999741596155696,5,6,"positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway","BP"
"GO:0008360",0.00497807239295165,0.997194988003526,45,125,"regulation of cell shape","BP"
"GO:0006954",0.00509856847626776,0.996404494693865,108,364,"inflammatory response","BP"
"GO:0032025",0.00537733255473773,0.999705777929303,5,6,"response to cobalt ion","BP"
"GO:0007266",0.00565719317155269,0.997549402347451,23,56,"Rho protein signal transduction","BP"
"GO:0071596",0.00566548565394236,1,4,4,"ubiquitin-dependent protein catabolic process via the N-end rule pathway","BP"
"GO:0046330",0.00567285094647015,0.997041250609123,35,94,"positive regulation of JNK cascade","BP"
"GO:1901741",0.00569366441090348,0.999002669704509,8,13,"positive regulation of myoblast fusion","BP"
"GO:0150052",0.0057479269920282,0.997768495342333,19,43,"regulation of postsynapse assembly","BP"
"GO:0048839",0.00629483006914053,0.997645987097758,17,40,"inner ear development","BP"
"GO:0008284",0.00631770337875919,0.995387037938029,127,425,"positive regulation of cell population proliferation","BP"
"GO:0030185",0.0064344563028854,0.999697934913534,4,5,"nitric oxide transport","BP"
"GO:0006914",0.00654749972104993,0.996155015671924,48,139,"autophagy","BP"
"GO:0010804",0.00689134364742514,0.997975492148985,12,25,"negative regulation of tumor necrosis factor-mediated signaling pathway","BP"
"GO:0045429",0.00703099907004915,0.997280889384075,18,41,"positive regulation of nitric oxide biosynthetic process","BP"
"GO:0030948",0.00704359570269977,0.998910578439917,7,11,"negative regulation of vascular endothelial growth factor receptor signaling pathway","BP"
"GO:0035641",0.00751008972166627,0.998346874680409,9,16,"locomotory exploration behavior","BP"
"GO:0002281",0.00758894303924966,0.998507308786733,8,14,"macrophage activation involved in immune response","BP"
"GO:2001234",0.00763797585415748,0.997602607626107,13,27,"negative regulation of apoptotic signaling pathway","BP"
"GO:0035556",0.00764313400333183,0.994425565947641,122,396,"intracellular signal transduction","BP"
"GO:0031665",0.00774922835287809,0.998776965297983,7,11,"negative regulation of lipopolysaccharide-mediated signaling pathway","BP"
"GO:0034244",0.00796804694986302,0.997991759659592,10,19,"negative regulation of transcription elongation by RNA polymerase II","BP"
"GO:0031274",0.00860202481776793,0.998495577204245,7,12,"positive regulation of pseudopodium assembly","BP"
"GO:0016180",0.00867133193615585,0.998041534861882,9,16,"snRNA processing","BP"
"GO:0006986",0.00869486340144826,0.996288548616192,20,50,"response to unfolded protein","BP"
"GO:0051607",0.0090462116857967,0.99406400854727,67,214,"defense response to virus","BP"
"GO:0002456",0.00905521564508862,0.997938797245858,9,16,"T cell mediated immunity","BP"
"GO:0008285",0.00935463288210844,0.993216551335241,111,369,"negative regulation of cell population proliferation","BP"
"GO:0009117",0.00948914454319183,0.999091087678623,5,7,"nucleotide metabolic process","BP"
"GO:0050684",0.00967534591011213,0.997481060556468,10,19,"regulation of mRNA processing","BP"
"GO:0006368",0.0098078081373327,0.996424782283289,15,34,"transcription elongation by RNA polymerase II","BP"
"GO:0042771",0.00987677649721828,0.996430313836697,15,33,"intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","BP"
"GO:0044351",0.0104569531351629,0.998971479339622,5,7,"macropinocytosis","BP"
"GO:1901987",0.0106104358557297,0.998554997915011,6,9,"regulation of cell cycle phase transition","BP"
"GO:0042482",0.0107653234829848,0.999404990877086,4,5,"positive regulation of odontogenesis","BP"
"GO:0016242",0.0109186041114626,0.997694924049647,8,14,"negative regulation of macroautophagy","BP"
"GO:0070498",0.0113844752898488,0.996657499186398,11,22,"interleukin-1-mediated signaling pathway","BP"
"GO:0061351",0.011542166889352,0.996603724666218,11,22,"neural precursor cell proliferation","BP"
"GO:0055064",0.0116197495894085,0.997998255082608,7,11,"chloride ion homeostasis","BP"
"GO:0051146",0.0117087446332643,0.997493653918215,8,14,"striated muscle cell differentiation","BP"
"GO:0021978",0.0122533940144669,0.999293647921901,4,5,"telencephalon regionalization","BP"
"GO:0070059",0.0123450437015515,0.995362914363324,15,34,"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","BP"
"GO:0071503",0.0125502214759606,1,3,3,"response to heparin","BP"
"GO:0045925",0.0125726891968111,1,3,3,"positive regulation of female receptivity","BP"
"GO:0035767",0.0128145502423937,0.998172642038801,6,9,"endothelial cell chemotaxis","BP"
"GO:0030968",0.0128344007473003,0.994285458679623,20,50,"endoplasmic reticulum unfolded protein response","BP"
"GO:1903898",0.0129248374862192,0.997533376317349,7,12,"negative regulation of PERK-mediated unfolded protein response","BP"
"GO:0002277",0.0131438749487746,1,3,3,"myeloid dendritic cell activation involved in immune response","BP"
"GO:0019725",0.0131726038798916,0.99666785268416,9,17,"cellular homeostasis","BP"
"GO:0045059",0.0131833366918968,0.997473140451846,7,12,"positive thymic T cell selection","BP"
"GO:0002250",0.0133978948603831,0.991350432559631,57,177,"adaptive immune response","BP"
"GO:0010738",0.0135374983581486,0.999193701003487,4,5,"regulation of protein kinase A signaling","BP"
"GO:0006468",0.0135566912158633,0.990487592441236,85,268,"protein phosphorylation","BP"
"GO:0032496",0.0135934193838875,0.991888560059648,42,126,"response to lipopolysaccharide","BP"
"GO:0045959",0.0135969851374983,0.998561716881378,5,7,"negative regulation of complement activation, classical pathway","BP"
"GO:0043217",0.013601591715925,0.999188622377298,4,5,"myelin maintenance","BP"
"GO:1903052",0.0136554189737717,0.999184350732405,4,5,"positive regulation of proteolysis involved in protein catabolic process","BP"
"GO:0071260",0.0136801014089355,0.993004687614182,27,72,"cellular response to mechanical stimulus","BP"
"GO:0008063",0.0137249451744035,0.998544364491001,5,7,"Toll signaling pathway","BP"
"GO:0034260",0.0139218690390435,0.996043102734071,10,20,"negative regulation of GTPase activity","BP"
"GO:0034620",0.0140183369382265,0.996412829513126,9,17,"cellular response to unfolded protein","BP"
"GO:0042307",0.0141151606334517,0.994152792775706,17,41,"positive regulation of protein import into nucleus","BP"
"GO:0045060",0.0141415322690043,0.997247463464967,7,12,"negative thymic T cell selection","BP"
"GO:1900118",0.0142150078462549,0.996938690991232,7,14,"negative regulation of execution phase of apoptosis","BP"
"GO:0036503",0.0142829515203216,0.992089837047545,33,93,"ERAD pathway","BP"
"GO:1903899",0.014339735480996,1,3,3,"positive regulation of PERK-mediated unfolded protein response","BP"
"GO:0036500",0.0143568187714147,0.99845797029827,5,7,"ATF6-mediated unfolded protein response","BP"
"GO:0032731",0.0143713110162117,0.993206796379958,22,57,"positive regulation of interleukin-1 beta production","BP"
"GO:0160075",0.0144562313539145,1,3,3,"non-canonical inflammasome complex assembly","BP"
"GO:0060033",0.0146291610287229,1,3,3,"anatomical structure regression","BP"
"GO:1902808",0.0148382099859854,0.997081080168774,7,12,"positive regulation of cell cycle G1/S phase transition","BP"
"GO:0035914",0.0148964260469663,0.993952779160165,16,39,"skeletal muscle cell differentiation","BP"
"GO:0015835",0.0150142012818611,1,3,3,"peptidoglycan transport","BP"
"GO:0046849",0.0150395597020765,0.996459943324735,8,15,"bone remodeling","BP"
"GO:0042488",0.015169395509409,1,3,3,"positive regulation of odontogenesis of dentin-containing tooth","BP"
"GO:0090630",0.0151701223286693,0.994143315173515,15,34,"activation of GTPase activity","BP"
"GO:0046666",0.0152137594618314,1,3,3,"retinal cell programmed cell death","BP"
"GO:0060143",0.0152522767092133,1,3,3,"positive regulation of syncytium formation by plasma membrane fusion","BP"
"GO:1904431",0.0154553740526172,1,3,3,"positive regulation of t-circle formation","BP"
"GO:0045588",0.015541687993613,0.998292879289833,5,7,"positive regulation of gamma-delta T cell differentiation","BP"
"GO:0071629",0.0157834128041313,1,3,3,"cytoplasm protein quality control by the ubiquitin-proteasome system","BP"
"GO:0035166",0.0160513032313271,0.99898840929347,4,5,"post-embryonic hemopoiesis","BP"
"GO:0002467",0.0162258580359324,0.99725537603884,6,10,"germinal center formation","BP"
"GO:0097039",0.0164039079388854,1,3,3,"protein linear polyubiquitination","BP"
"GO:0003056",0.016407188330621,1,3,3,"regulation of vascular associated smooth muscle contraction","BP"
"GO:0033209",0.0165815271642986,0.992341014611958,20,52,"tumor necrosis factor-mediated signaling pathway","BP"
"GO:0019243",0.0166045599218027,1,3,3,"methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione","BP"
"GO:0006915",0.0166592733821368,0.987068003371228,150,523,"apoptotic process","BP"
"GO:2000630",0.0167139614077273,1,3,3,"positive regulation of miRNA metabolic process","BP"
"GO:1904271",0.0167884857109013,1,3,3,"L-proline import across plasma membrane","BP"
"GO:2000394",0.0168372484453981,0.998107937321327,5,7,"positive regulation of lamellipodium morphogenesis","BP"
"GO:0042744",0.0168515053009076,0.994695696106313,10,24,"hydrogen peroxide catabolic process","BP"
"GO:0099041",0.0168686228592635,0.998919067083065,4,5,"vesicle tethering to Golgi","BP"
"GO:0006687",0.0169916989677045,0.998085590579712,5,7,"glycosphingolipid metabolic process","BP"
"GO:1904466",0.0170112082497472,1,3,3,"positive regulation of matrix metallopeptidase secretion","BP"
"GO:0002068",0.0170535738969935,0.998903205819324,4,5,"glandular epithelial cell development","BP"
"GO:0036481",0.0170967917029423,1,3,3,"intrinsic apoptotic signaling pathway in response to hydrogen peroxide","BP"
"GO:0031281",0.0172504238756784,1,3,3,"positive regulation of cyclase activity","BP"
"GO:0030890",0.0174346344155999,0.992502727879976,17,43,"positive regulation of B cell proliferation","BP"
"GO:0043065",0.0176467080434079,0.987359712584295,87,289,"positive regulation of apoptotic process","BP"
"GO:1904357",0.0176946157958098,0.996942190298518,6,10,"negative regulation of telomere maintenance via telomere lengthening","BP"
"GO:0061044",0.0178715732238263,0.998832317180777,4,5,"negative regulation of vascular wound healing","BP"
"GO:0021747",0.0182802815665274,1,3,3,"cochlear nucleus development","BP"
"GO:1904059",0.0184658590796726,1,3,3,"regulation of locomotor rhythm","BP"
"GO:0001960",0.0185128004440625,0.996764660037729,6,10,"negative regulation of cytokine-mediated signaling pathway","BP"
"GO:0043254",0.0185146540437691,0.994248334932112,10,22,"regulation of protein-containing complex assembly","BP"
"GO:0032968",0.0185510417146401,0.991520345127778,19,49,"positive regulation of transcription elongation by RNA polymerase II","BP"
"GO:0031460",0.0185804249397997,1,3,3,"glycine betaine transport","BP"
"GO:0099505",0.0188146784493785,0.993472485813628,12,26,"regulation of presynaptic membrane potential","BP"
"GO:0043507",0.0188595228578175,0.993454473016282,12,26,"positive regulation of JUN kinase activity","BP"
"GO:0090084",0.0192078514223412,0.996612181303787,6,10,"negative regulation of inclusion body assembly","BP"
"GO:0071223",0.0192373062189736,0.996605686338315,6,10,"cellular response to lipoteichoic acid","BP"
"GO:0031641",0.0194841862932345,0.994001485781763,10,21,"regulation of myelination","BP"
"GO:0045860",0.0196105922478451,0.991750435031811,16,39,"positive regulation of protein kinase activity","BP"
"GO:0030183",0.0196344309313442,0.989876967319534,25,67,"B cell differentiation","BP"
"GO:0006309",0.0196509221205117,0.996514199463239,6,10,"apoptotic DNA fragmentation","BP"
"GO:0030223",0.0199281586831348,0.997183058053154,5,8,"neutrophil differentiation","BP"
"GO:2000297",0.020233592707867,1,3,3,"negative regulation of synapse maturation","BP"
"GO:2000353",0.0203127404124299,0.993586382564912,10,22,"positive regulation of endothelial cell apoptotic process","BP"
"GO:0051147",0.0206889904115798,0.997044305983451,5,8,"regulation of muscle cell differentiation","BP"
"GO:0009313",0.0208045139166098,0.996256301923906,6,10,"oligosaccharide catabolic process","BP"
"GO:0050870",0.0211889044743918,0.991302973285376,15,36,"positive regulation of T cell activation","BP"
"GO:0002726",0.0212143945900681,0.995219509676281,7,13,"positive regulation of T cell cytokine production","BP"
"GO:0045786",0.0212200226935427,0.99010566583673,19,50,"negative regulation of cell cycle","BP"
"GO:1902894",0.0212299890384714,0.992162593595596,13,28,"negative regulation of miRNA transcription","BP"
"GO:0061523",0.0213426854364498,0.998518674407926,4,5,"cilium disassembly","BP"
"GO:0007166",0.0215925871758872,0.985028403585845,69,224,"cell surface receptor signaling pathway","BP"
"GO:2000271",0.0216069693570796,0.996074583688681,6,10,"positive regulation of fibroblast apoptotic process","BP"
"GO:0042102",0.0217518397743793,0.989182521487356,22,59,"positive regulation of T cell proliferation","BP"
"GO:0043122",0.0218643169602063,0.991333052329364,14,33,"regulation of canonical NF-kappaB signal transduction","BP"
"GO:0006959",0.0219367552981318,0.98993592253393,18,48,"humoral immune response","BP"
"GO:0032874",0.0219870000644402,0.993083841317701,10,21,"positive regulation of stress-activated MAPK cascade","BP"
"GO:0007080",0.0226092240331565,0.989903733829444,17,44,"mitotic metaphase chromosome alignment","BP"
"GO:0042981",0.0228332538672661,0.984796433664094,56,177,"regulation of apoptotic process","BP"
"GO:0032835",0.0228569913869869,0.995787832502652,6,10,"glomerulus development","BP"
"GO:0034243",0.0237629648260581,0.992420065134437,10,21,"regulation of transcription elongation by RNA polymerase II","BP"
"GO:0051726",0.0238531444678339,0.983471756892943,67,215,"regulation of cell cycle","BP"
"GO:0097193",0.0239763999156402,0.989212382497674,17,44,"intrinsic apoptotic signaling pathway","BP"
"GO:0032740",0.0242113326581364,0.991548671571462,11,25,"positive regulation of interleukin-17 production","BP"
"GO:0001836",0.0245590913913033,0.991855915216464,10,23,"release of cytochrome c from mitochondria","BP"
"GO:0033194",0.0246125804129316,0.996304604159473,5,8,"response to hydroperoxide","BP"
"GO:0035754",0.0252525054028308,0.997284345505377,4,6,"B cell chemotaxis","BP"
"GO:0032728",0.025360972792861,0.988894532183309,16,40,"positive regulation of interferon-beta production","BP"
"GO:0060337",0.0254526382070985,0.989081154486679,15,39,"type I interferon-mediated signaling pathway","BP"
"GO:0051403",0.0256002729411556,0.991101814156663,11,24,"stress-activated MAPK cascade","BP"
"GO:2000060",0.0259586723047432,0.990398562045383,12,27,"positive regulation of ubiquitin-dependent protein catabolic process","BP"
"GO:0071353",0.0265795273896001,0.990573932511762,11,25,"cellular response to interleukin-4","BP"
"GO:0003014",0.0266922393848384,0.993661587978712,7,13,"renal system process","BP"
"GO:0030335",0.026799168427267,0.980873602246506,75,249,"positive regulation of cell migration","BP"
"GO:0099151",0.0277587956485388,0.992327232506805,8,16,"regulation of postsynaptic density assembly","BP"
"GO:0006935",0.0280612927781268,0.983101621617384,34,112,"chemotaxis","BP"
"GO:0046627",0.0284335358194398,0.987682155853902,15,38,"negative regulation of insulin receptor signaling pathway","BP"
"GO:1902916",0.0285438287465297,0.996800330846464,4,6,"positive regulation of protein polyubiquitination","BP"
"GO:0015734",0.0285661825547559,0.995521054159998,5,8,"taurine transmembrane transport","BP"
"GO:0010332",0.0286711382211368,0.989699360931893,11,25,"response to gamma radiation","BP"
"GO:0043353",0.0297499939152302,0.99661765403522,4,6,"enucleate erythrocyte differentiation","BP"
"GO:0061469",0.0300021225087039,0.996579119294909,4,6,"regulation of type B pancreatic cell proliferation","BP"
"GO:0097398",0.0301520949966447,0.996556141095782,4,6,"cellular response to interleukin-17","BP"
"GO:0048711",0.030168051666114,0.993578861389282,6,11,"positive regulation of astrocyte differentiation","BP"
"GO:0030837",0.0302348420447677,0.990552204141106,9,19,"negative regulation of actin filament polymerization","BP"
"GO:0071902",0.0303571902413267,0.988853445778553,11,26,"positive regulation of protein serine/threonine kinase activity","BP"
"GO:0006470",0.0305629605000452,0.983209021487898,26,72,"protein dephosphorylation","BP"
"GO:2000318",0.030783925143911,0.993413562643466,6,11,"positive regulation of T-helper 17 type immune response","BP"
"GO:0032570",0.0311446185129259,0.986802451331443,14,35,"response to progesterone","BP"
"GO:0033089",0.0311866550618819,0.993304966889687,6,11,"positive regulation of T cell differentiation in thymus","BP"
"GO:0015867",0.0315066041038838,0.993218411129552,6,11,"ATP transport","BP"
"GO:0010644",0.0316870442946556,0.996318553636577,4,6,"cell communication by electrical coupling","BP"
"GO:0071539",0.0316973012040809,0.988567258876245,11,24,"protein localization to centrosome","BP"
"GO:0002322",0.031886457139032,0.996287368629672,4,6,"B cell proliferation involved in immune response","BP"
"GO:0006974",0.0319561343822548,0.976320279721703,89,296,"DNA damage response","BP"
"GO:0060325",0.0321430976354548,0.986846074188919,13,32,"face morphogenesis","BP"
"GO:0031214",0.0323337857765138,0.9893843905648,9,21,"biomineral tissue development","BP"
"GO:0010803",0.032646517021022,0.988768905481637,10,22,"regulation of tumor necrosis factor-mediated signaling pathway","BP"
"GO:1904783",0.0327024384837133,0.997922650332349,3,4,"positive regulation of NMDA glutamate receptor activity","BP"
"GO:0043462",0.0327450486382981,0.996152272345584,4,6,"regulation of ATP-dependent activity","BP"
"GO:0043372",0.0328109090482121,0.996141854387851,4,6,"positive regulation of CD4-positive, alpha-beta T cell differentiation","BP"
"GO:2001244",0.0329728211829045,0.986452589946091,13,32,"positive regulation of intrinsic apoptotic signaling pathway","BP"
"GO:0003333",0.0329999169200678,0.988624589655695,10,22,"amino acid transmembrane transport","BP"
"GO:0072560",0.0332285448862267,0.997874891693522,3,4,"type B pancreatic cell maturation","BP"
"GO:0035335",0.0332631699851402,0.989407323353007,9,19,"peptidyl-tyrosine dephosphorylation","BP"
"GO:1990166",0.033545403973399,0.990345031138061,8,16,"protein localization to site of double-strand break","BP"
"GO:0031396",0.0337440253033509,0.98922337167022,9,19,"regulation of protein ubiquitination","BP"
"GO:0045579",0.033768516614502,0.991175164403036,7,14,"positive regulation of B cell differentiation","BP"
"GO:0032733",0.0338550828745199,0.984879640984273,15,39,"positive regulation of interleukin-10 production","BP"
"GO:0090091",0.0341004565232869,0.994365528074825,5,8,"positive regulation of extracellular matrix disassembly","BP"
"GO:0045454",0.0341722585853138,0.984638476119645,15,40,"cell redox homeostasis","BP"
"GO:0061035",0.0344834193106596,0.997759591808798,3,4,"regulation of cartilage development","BP"
"GO:0006325",0.0348930841941578,0.976453257756388,51,170,"chromatin organization","BP"
"GO:0060137",0.0350664519988358,0.99770536395849,3,4,"maternal process involved in parturition","BP"
"GO:1902995",0.0351159140862782,0.99770074443009,3,4,"positive regulation of phospholipid efflux","BP"
"GO:0021702",0.0352645204193403,0.992183597363545,6,11,"cerebellar Purkinje cell differentiation","BP"
"GO:0001763",0.0360275719435803,0.99394812716781,5,8,"morphogenesis of a branching structure","BP"
"GO:0060179",0.0362002832344305,0.997598725296432,3,4,"male mating behavior","BP"
"GO:0048147",0.0373828976921878,0.984218033477811,13,33,"negative regulation of fibroblast proliferation","BP"
"GO:1903215",0.0375186353759554,0.995377394955729,4,6,"negative regulation of protein targeting to mitochondrion","BP"
"GO:0071361",0.0378209996245281,0.989848687017839,7,14,"cellular response to ethanol","BP"
"GO:0045047",0.0379041582389087,0.989492755710236,7,15,"protein targeting to ER","BP"
"GO:0097191",0.037959235995988,0.98079831470759,19,53,"extrinsic apoptotic signaling pathway","BP"
"GO:0016236",0.0379653770192425,0.979043735018911,24,70,"macroautophagy","BP"
"GO:0042542",0.0381051415695501,0.984419670623447,12,31,"response to hydrogen peroxide","BP"
"GO:0030316",0.0385482778475859,0.981452141907421,17,45,"osteoclast differentiation","BP"
"GO:0035666",0.0388863171654177,0.991155874502113,6,11,"TRIF-dependent toll-like receptor signaling pathway","BP"
"GO:0051603",0.0391035306927294,0.984067056362978,12,30,"proteolysis involved in protein catabolic process","BP"
"GO:0030101",0.0394079217609241,0.98574824854894,10,23,"natural killer cell activation","BP"
"GO:0071356",0.039419244180521,0.97612639973879,32,97,"cellular response to tumor necrosis factor","BP"
"GO:0034134",0.0394707590138706,0.995049299772807,4,6,"toll-like receptor 2 signaling pathway","BP"
"GO:0042692",0.0396064812810165,0.98786201849116,8,17,"muscle cell differentiation","BP"
"GO:0090200",0.0398707331311483,0.986355717086002,9,21,"positive regulation of release of cytochrome c from mitochondria","BP"
"GO:0042475",0.0401833227955049,0.979590021780607,19,52,"odontogenesis of dentin-containing tooth","BP"
"GO:1990535",0.0401899494095026,0.990778975302079,6,11,"neuron projection maintenance","BP"
"GO:0050855",0.0404455884826414,0.994883100534027,4,6,"regulation of B cell receptor signaling pathway","BP"
"GO:0007097",0.0407011630837548,0.986499714393015,9,19,"nuclear migration","BP"
"GO:0090316",0.0407884140413679,0.985152672966546,10,23,"positive regulation of intracellular protein transport","BP"
"GO:1903401",0.0413463000941677,0.994728162052917,4,6,"L-lysine transmembrane transport","BP"
"GO:0032801",0.0414712069949028,0.988621651474024,7,14,"receptor catabolic process","BP"
"GO:0002062",0.0416386746829029,0.978754402098013,19,52,"chondrocyte differentiation","BP"
"GO:0006432",0.0417962212033768,0.997050174446619,3,4,"phenylalanyl-tRNA aminoacylation","BP"
"GO:0007566",0.0418913549490049,0.980603599135648,15,40,"embryo implantation","BP"
"GO:0017038",0.0428933276276222,0.991586467117774,5,9,"protein import","BP"
"GO:0010734",0.0433590321895796,1,2,2,"negative regulation of protein glutathionylation","BP"
"GO:0045087",0.0434535578183442,0.965880059285947,118,426,"innate immune response","BP"
"GO:1903724",0.0435239437233435,0.996873550187948,3,4,"positive regulation of centriole elongation","BP"
"GO:0060338",0.0436159846040259,0.996864047014368,3,4,"regulation of type I interferon-mediated signaling pathway","BP"
"GO:0071498",0.0438420113584973,0.987809131046021,7,14,"cellular response to fluid shear stress","BP"
"GO:0033152",0.044200228986757,0.994228662078864,4,6,"immunoglobulin V(D)J recombination","BP"
"GO:0045445",0.0442125979883132,0.984798673445543,9,20,"myoblast differentiation","BP"
"GO:0030502",0.0445178228809123,0.987180291428709,7,15,"negative regulation of bone mineralization","BP"
"GO:0010172",0.0447420691586861,0.994132378605761,4,6,"embryonic body morphogenesis","BP"
"GO:0070925",0.0447546119588329,0.994130144371888,4,6,"organelle assembly","BP"
"GO:0009650",0.0448523941617868,0.98885209942387,6,12,"UV protection","BP"
"GO:0045651",0.045282400259459,0.986906837092032,7,15,"positive regulation of macrophage differentiation","BP"
"GO:0015670",0.0454360568735709,0.989820751999612,5,11,"carbon dioxide transport","BP"
"GO:0035990",0.0455704606072364,1,2,2,"tendon cell differentiation","BP"
"GO:0032471",0.0456195536131979,0.993975485279208,4,6,"negative regulation of endoplasmic reticulum calcium ion concentration","BP"
"GO:0015866",0.0457463274612647,0.99085076323166,5,9,"ADP transport","BP"
"GO:2001238",0.0457537302003467,0.979313573147818,14,36,"positive regulation of extrinsic apoptotic signaling pathway","BP"
"GO:0031954",0.0457718963166554,0.985518798508042,8,17,"positive regulation of protein autophosphorylation","BP"
"GO:0010593",0.0458665223477271,0.996628760224426,3,4,"negative regulation of lamellipodium assembly","BP"
"GO:0048251",0.0458927129513132,0.989088865548259,6,11,"elastic fiber assembly","BP"
"GO:0140507",0.0459519356982691,0.990156283183732,5,10,"granzyme-mediated programmed cell death signaling pathway","BP"
"GO:0033625",0.0462623001686463,0.990716052431129,5,9,"positive regulation of integrin activation","BP"
"GO:1903749",0.046454619628926,0.99656635949151,3,4,"positive regulation of establishment of protein localization to mitochondrion","BP"
"GO:0031293",0.0466719269228529,0.988276334834719,6,12,"membrane protein intracellular domain proteolysis","BP"
"GO:0042492",0.0467356596048441,0.993774213854674,4,6,"gamma-delta T cell differentiation","BP"
"GO:1902692",0.0467385230306239,0.996536100780407,3,4,"regulation of neuroblast proliferation","BP"
"GO:0016256",0.0470033269072248,1,2,2,"N-glycan processing to lysosome","BP"
"GO:1903445",0.0470260315126884,1,2,2,"protein transport from ciliary membrane to plasma membrane","BP"
"GO:0043517",0.0470496174679034,0.988155984473817,6,12,"positive regulation of DNA damage response, signal transduction by p53 class mediator","BP"
"GO:0072676",0.0471411596408201,0.9964930373435,3,4,"lymphocyte migration","BP"
"GO:0060292",0.0472015464943076,0.983551205044406,9,20,"long-term synaptic depression","BP"
